DATE,ESPECES,TITRES,TOTAL,BASE100,APPARIEE100,DETENTION100
2022-12-27,10115.59,0.0,10115.59,101.1559,101.1065,96.1881
2022-12-28,10115.59,0.0,10115.59,101.1559,101.1065,95.7879
2022-12-29,10115.59,0.0,10115.59,101.1559,101.1065,96.7455
2022-12-30,10115.59,0.0,10115.59,101.1559,101.1065,95.1019
2023-01-02,10115.59,0.0,10115.59,101.1559,101.1065,96.9599
2023-01-03,10115.59,0.0,10115.59,101.1559,101.1065,96.717
2023-01-04,10115.59,0.0,10115.59,101.1559,101.1065,99.3039
2023-01-05,10115.59,0.0,10115.59,101.1559,101.1065,98.8179
2023-01-06,10115.59,0.0,10115.59,101.1559,101.1065,101.4478
2023-01-09,10115.59,0.0,10115.59,101.1559,101.1065,102.3482
2023-01-10,10115.59,0.0,10115.59,101.1559,101.1065,101.7479
2023-01-11,10115.59,0.0,10115.59,101.1559,101.1065,103.7489
2023-01-12,10115.59,0.0,10115.59,101.1559,101.1065,103.0057
2023-01-13,10115.59,0.0,10115.59,101.1559,101.1065,102.1052
2023-01-16,10115.59,0.0,10115.59,101.1559,101.1065,103.5488
2023-01-17,10115.59,0.0,10115.59,101.1559,101.1065,103.8775
2023-01-18,10115.59,0.0,10115.59,101.1559,101.1065,103.6202
2023-01-19,10115.59,0.0,10115.59,101.1559,101.1065,103.9633
2023-01-20,10115.59,0.0,10115.59,101.1559,101.1065,103.9919
2023-01-23,10115.59,0.0,10115.59,101.1559,101.1065,103.1343
2023-01-24,10115.59,0.0,10115.59,101.1559,101.1065,103.8775
2023-01-25,10115.59,0.0,10115.59,101.1559,101.1065,104.9209
2023-01-26,10115.59,0.0,10115.59,101.1559,101.1065,105.7784
2023-01-27,10115.59,0.0,10115.59,101.1559,101.1065,106.4359
2023-01-30,10115.59,0.0,10115.59,101.1559,101.1065,106.1357
2023-01-31,10115.59,0.0,10115.59,101.1559,101.1065,104.8637
2023-02-01,10115.59,0.0,10115.59,101.1559,101.1065,104.5779
2023-02-02,10115.59,0.0,10115.59,101.1559,101.1065,105.3211
2023-02-03,10115.59,0.0,10115.59,101.1559,101.1065,104.3349
2023-02-06,10115.59,0.0,10115.59,101.1559,101.1065,103.1343
2023-02-07,10115.59,0.0,10115.59,101.1559,101.1065,103.6488
2023-02-08,10115.59,0.0,10115.59,101.1559,101.1065,105.2782
2023-02-09,10115.59,0.0,10115.59,101.1559,101.1065,104.2634
2023-02-10,10115.59,0.0,10115.59,101.1559,101.1065,102.191
2023-02-13,10115.59,0.0,10115.59,101.1559,101.1065,103.9061
2023-02-14,10115.59,0.0,10115.59,101.1559,101.1065,103.706
2023-02-15,10115.59,0.0,10115.59,101.1559,101.1065,104.6636
2023-02-16,10115.59,0.0,10115.59,101.1559,101.1065,106.5216
2023-02-17,10115.59,0.0,10115.59,101.1559,101.1065,107.2648
2023-02-20,10115.59,0.0,10115.59,101.1559,101.1065,109.1658
2023-02-21,10115.59,0.0,10115.59,101.1559,101.1065,108.3368
2023-02-22,10115.59,0.0,10115.59,101.1559,101.1065,107.4078
2023-02-23,10115.59,0.0,10115.59,101.1559,101.1065,106.6646
2023-02-24,10115.59,0.0,10115.59,101.1559,101.1065,106.0643
2023-02-27,10115.59,0.0,10115.59,101.1559,101.1065,108.8227
2023-02-28,10115.59,0.0,10115.59,101.1559,101.1065,108.0795
2023-03-01,10115.59,0.0,10115.59,101.1559,101.1065,107.1934
2023-03-02,10115.59,0.0,10115.59,101.1559,101.1065,107.3649
2023-03-03,10115.59,0.0,10115.59,101.1559,101.1065,107.9366
2023-03-06,10115.59,0.0,10115.59,101.1559,101.1065,106.8504
2023-03-07,10115.59,0.0,10115.59,101.1559,101.1065,107.5364
2023-03-08,10115.59,0.0,10115.59,101.1559,101.1065,106.979
2023-03-09,10115.59,0.0,10115.59,101.1559,101.1065,107.9223
2023-03-10,10115.59,0.0,10115.59,101.1559,101.1065,106.8647
2023-03-13,10115.59,0.0,10115.59,101.1559,101.1065,105.1781
2023-03-14,10115.59,0.0,10115.59,101.1559,101.1065,107.2505
2023-03-15,10115.59,0.0,10115.59,101.1559,101.1065,105.5926
2023-03-16,10115.59,0.0,10115.59,101.1559,101.1065,107.5507
2023-03-17,10115.59,0.0,10115.59,101.1559,101.1065,105.6927
2023-03-20,10115.59,0.0,10115.59,101.1559,101.1065,108.0223
2023-03-21,10115.59,0.0,10115.59,101.1559,101.1065,107.6936
2023-03-22,10115.59,0.0,10115.59,101.1559,101.1065,108.5226
2023-03-23,10115.59,0.0,10115.59,101.1559,101.1065,108.6369
2023-03-24,10115.59,0.0,10115.59,101.1559,101.1065,107.3935
2023-03-27,10115.59,0.0,10115.59,101.1559,101.1065,107.5793
2023-03-28,10115.59,0.0,10115.59,101.1559,101.1065,107.7937
2023-03-29,10115.59,0.0,10115.59,101.1559,101.1065,108.4654
2023-03-30,10115.59,0.0,10115.59,101.1559,101.1065,109.6088
2023-03-31,10115.59,0.0,10115.59,101.1559,101.1065,110.6808
2023-04-03,10115.59,0.0,10115.59,101.1559,101.1065,110.5092
2023-04-04,10115.59,0.0,10115.59,101.1559,101.1065,110.8523
2023-04-05,10115.59,0.0,10115.59,101.1559,101.1065,111.4383
2023-04-06,10115.59,0.0,10115.59,101.1559,101.1065,113.4249
2023-04-11,10115.59,0.0,10115.59,101.1559,101.1065,113.9823
2023-04-12,10115.59,0.0,10115.59,101.1559,101.1065,114.0967
2023-04-13,10115.59,0.0,10115.59,101.1559,101.1065,113.9394
2023-04-14,10115.59,0.0,10115.59,101.1559,101.1065,113.7251
2023-04-17,10115.59,0.0,10115.59,101.1559,101.1065,114.8399
2023-04-18,10115.59,0.0,10115.59,101.1559,101.1065,115.4259
2023-04-19,10115.59,0.0,10115.59,101.1559,101.1065,116.0262
2023-04-20,10115.59,0.0,10115.59,101.1559,101.1065,116.4692
2023-04-21,10115.59,0.0,10115.59,101.1559,101.1065,116.898
2023-04-24,10115.59,0.0,10115.59,101.1559,101.1065,117.1696
2023-04-25,10115.59,0.0,10115.59,101.1559,101.1065,117.1696
2023-04-26,10115.59,0.0,10115.59,101.1559,101.1065,115.383
2023-04-27,10115.59,0.0,10115.59,101.1559,101.1065,116.5264
2023-04-28,10115.59,0.0,10115.59,101.1559,101.1065,117.0981
2023-05-02,10115.59,0.0,10115.59,101.1559,101.1065,116.2263
2023-05-03,10115.59,0.0,10115.59,101.1559,101.1065,116.8266
2023-05-04,10115.59,0.0,10115.59,101.1559,101.1065,116.7837
2023-05-05,10115.59,0.0,10115.59,101.1559,101.1065,117.2553
2023-05-08,10115.59,0.0,10115.59,101.1559,101.1065,117.2268
2023-05-09,10115.59,0.0,10115.59,101.1559,101.1065,117.3268
2023-05-10,10115.59,0.0,10115.59,101.1559,101.1065,116.2548
2023-05-11,10115.59,0.0,10115.59,101.1559,101.1065,116.7694
