DATE,TICKER,TYPE,PHASE,ENONCE,BORNE_BASSE,BORNE_HAUTE,DATE_DEPOUILLEMENT,VALEUR_CONSTATEE,VERDICT
2024-11-29,RI.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-12-31",-5.0,5.0,2024-12-31,1.115435930738773,CONFIRMEE
2024-11-29,ORA.PA,CANAL,,"clôture entre 8,77 € et 8,80 € au 2024-12-31",8.766,8.804,2024-12-31,8.87534236907959,DEMENTIE
2024-11-29,ORA.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-12-31",-5.0,5.0,2024-12-31,-3.3922308237528287,CONFIRMEE
2024-12-31,AIR.PA,CANAL,,"clôture entre 142,30 € et 160,03 € au 2025-01-31",142.29739999999998,160.0268,2025-01-31,160.48060607910156,DEMENTIE
2024-12-31,AIR.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2025-01-31",-5.0,5.0,2025-01-31,0.5983374487436688,CONFIRMEE
2024-12-31,MC.PA,CANAL,,"clôture entre 514,69 € et 603,69 € au 2025-01-31",514.6886000000001,603.6912,2025-01-31,676.0008544921875,DEMENTIE
2024-12-31,MC.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2025-01-31",-5.0,5.0,2025-01-31,3.3259779863803907,CONFIRMEE
2024-12-31,OR.PA,CANAL,,"clôture entre 270,48 € et 306,76 € au 2025-01-31",270.4828,306.7598,2025-01-31,345.3351745605469,DEMENTIE
2024-12-31,OR.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2025-01-31",-5.0,5.0,2025-01-31,-2.5037087777262323,CONFIRMEE
2024-12-31,SAN.PA,CANAL,,"clôture entre 78,57 € et 81,24 € au 2025-01-31",78.56819999999999,81.24380000000001,2025-01-31,94.70097351074219,DEMENTIE
2024-12-31,SAN.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2025-01-31",-5.0,5.0,2025-01-31,3.9976200535414064,CONFIRMEE
2024-12-31,BNP.PA,CANAL,,"clôture entre 47,63 € et 48,99 € au 2025-01-31",47.634,48.9924,2025-01-31,57.995906829833984,DEMENTIE
2024-12-31,BNP.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2025-01-31",-5.0,5.0,2025-01-31,3.6017503466032386,CONFIRMEE
2024-12-31,TTE.PA,CANAL,,"clôture entre 44,20 € et 57,91 € au 2025-01-31",44.198,57.907799999999995,2025-01-31,51.85763931274414,CONFIRMEE
2024-12-31,TTE.PA,REFLEXIVE,RETOURNEMENT,"RETOURNEMENT : écart contre TR12 négatif ou nul, au 2025-01-31",,0.0,2025-01-31,-0.12815780393087284,CONFIRMEE
2024-12-31,SU.PA,CANAL,,"clôture entre 240,77 € et 249,67 € au 2025-01-31",240.7706,249.66860000000003,2025-01-31,237.30780029296875,DEMENTIE
2024-12-31,SU.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2025-01-31",-5.0,5.0,2025-01-31,-5.527023868328151,DEMENTIE
2024-12-31,AI.PA,CANAL,,"clôture entre 132,91 € et 132,83 € au 2025-01-31",132.9088,132.8268,2025-01-31,147.40176391601562,DEMENTIE
2024-12-31,AI.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2025-01-31",-5.0,5.0,2025-01-31,0.06901378719494922,CONFIRMEE
