TIRAGE,UNIVERS,TOP10
962,96.7032,93.9046
963,98.1906,89.285
964,100.0238,92.4626
965,100.6337,94.1261
966,101.8457,92.1546
967,97.3493,92.4632
968,99.3885,96.1177
969,94.7948,91.1043
970,94.1171,88.9867
971,105.1448,93.017
972,99.8841,94.3688
973,102.1175,93.8706
974,96.132,96.4359
975,110.7536,89.3815
976,99.4431,93.885
977,87.841,93.8773
978,92.8755,96.8652
979,100.1167,92.9034
980,95.4136,90.1256
981,97.1307,90.6435
982,93.2568,96.9076
983,97.4871,95.4945
984,96.6281,94.2632
985,92.0617,92.2616
986,102.3502,95.1772
987,105.1532,94.5317
988,96.7537,91.6414
989,94.0859,89.4249
990,105.2521,88.2499
991,94.8082,93.7935
992,99.2344,100.1873
993,101.1964,94.589
994,103.1579,87.5667
995,96.5905,92.6386
996,95.1519,91.5026
997,103.8663,95.3603
998,90.6698,91.0829
999,92.7962,93.5272
1000,100.4918,97.3067
1001,97.844,91.8863
1002,102.0115,96.4746
1003,97.8985,95.6973
1004,97.816,90.503
1005,91.4719,94.6375
1006,95.066,91.9543
1007,100.9739,97.3754
1008,102.3003,98.1542
1009,95.5925,94.0725
1010,105.5426,92.5803
1011,97.2058,96.8163
1012,95.1072,93.029
1013,96.7131,93.7181
1014,99.0996,93.2331
1015,97.9465,91.9471
1016,99.0554,90.0627
1017,97.404,92.3054
1018,96.5566,91.6647
1019,95.564,91.5872
1020,105.1274,91.3782
1021,95.7953,89.7065
1022,93.0979,89.1876
1023,96.9845,95.3745
1024,95.4621,88.0684
1025,100.0092,89.8218
1026,93.213,92.0824
1027,97.9146,90.6297
1028,89.3702,88.2365
1029,94.909,91.1266
1030,90.0981,97.8277
1031,93.0804,90.0883
1032,96.9565,92.1804
1033,95.0914,93.2681
1034,100.098,90.7426
1035,100.4629,89.1321
1036,96.9509,90.6898
1037,92.2631,94.7237
1038,102.7936,95.1806
1039,96.5244,89.6806
1040,90.0789,90.4096
1041,91.3598,91.4488
1042,102.0721,94.2603
1043,103.3253,92.6501
1044,96.7886,91.0758
1045,100.5875,89.4152
1046,100.0784,91.428
1047,101.6904,94.0659
1048,98.3835,98.1511
1049,97.636,91.2397
1050,98.1528,94.4907
1051,87.8693,95.2098
1052,91.7968,94.1034
1053,100.7945,92.5933
1054,98.9639,97.1027
1055,95.2547,92.4138
1056,97.657,96.9481
1057,101.2505,89.1312
1058,99.7412,96.2175
1059,96.0867,90.1727
1060,94.8562,93.6441
1061,96.1773,92.8227
1062,98.8144,90.3495
1063,100.3324,97.3641
1064,91.2703,92.0251
1065,94.5014,91.303
1066,97.8232,89.7255
1067,99.3802,95.6475
1068,99.2959,95.5055
1069,92.9166,95.7406
1070,93.5003,89.503
1071,96.8367,90.131
1072,97.6229,95.5361
1073,102.7542,94.9614
1074,97.3265,95.4329
1075,102.2892,91.5756
1076,93.5067,98.3631
1077,98.8296,92.4305
1078,91.0777,93.7595
1079,105.9983,90.5352
1080,102.389,92.9063
1081,97.4609,91.7524
1082,98.8483,95.6056
1083,107.8628,92.3038
1084,97.5396,93.7702
1085,98.8236,97.6446
1086,97.9584,91.9658
1087,99.6653,89.178
1088,94.1537,93.106
1089,97.6488,96.5633
1090,94.9924,92.5331
1091,93.3256,88.7042
1092,102.6745,94.24
1093,94.6663,90.5105
1094,103.5848,93.5599
1095,93.4552,89.8575
1096,97.5433,90.9104
1097,103.0879,98.5176
1098,90.7264,89.7468
1099,90.5048,86.8633
1100,91.6169,94.3986
1101,94.8341,94.5452
1102,92.9966,92.8087
1103,96.7737,90.1574
1104,95.9184,91.7153
1105,110.8631,89.3323
1106,89.1014,89.2055
1107,97.4431,90.8759
1108,95.9828,91.7677
1109,96.8078,89.7671
1110,97.3953,97.2727
1111,98.6844,89.4727
1112,105.6761,93.2743
1113,96.6972,89.906
1114,103.5797,92.4904
1115,97.8406,89.9732
1116,101.6305,93.4966
1117,96.7393,90.199
1118,93.7609,92.5552
1119,94.0806,88.3733
1120,99.4378,93.7234
1121,96.3175,92.6586
1122,106.2865,93.38
1123,101.6368,91.6488
1124,97.3614,90.2877
1125,102.5294,95.0738
1126,93.837,90.059
1127,107.048,87.6514
1128,101.1158,90.1559
1129,108.3246,97.374
1130,92.7088,92.5954
1131,96.2606,90.1516
1132,101.7296,92.8773
1133,95.4321,86.5724
1134,94.3307,87.0464
1135,96.5244,95.0796
1136,102.2647,96.1192
1137,97.2068,94.1879
1138,97.9146,90.8369
1139,99.5616,92.8091
1140,101.8955,93.2608
1141,94.9222,88.5168
1142,104.5906,89.2097
1143,99.5003,89.799
1144,100.2707,95.3237
1145,96.7236,94.4171
1146,102.8626,90.8363
1147,106.7524,92.4389
1148,95.3473,94.9501
1149,93.745,92.8211
1150,88.2425,91.8701
1151,103.164,93.8289
1152,100.6093,91.8084
1153,95.7865,92.607
1154,99.5346,90.4516
1155,98.07,98.9522
1156,98.3365,92.7073
1157,94.4961,98.744
1158,92.8503,94.5867
1159,102.0481,96.374
1160,92.1343,92.641
1161,106.0072,91.9754
1162,100.9963,92.0519
1163,95.0219,94.3776
